posel,ilosc_kadencji,dane Lista
Marek Sawicki,7,Polskie Stronnictwo Ludowe
Jarosław Kaczyński,6,Prawo i Sprawiedliwość
Jerzy Polaczek,6,Prawo i Sprawiedliwość
Marek Suski,6,Prawo i Sprawiedliwość
Adam Lipiński,6,Prawo i Sprawiedliwość
Marek Kuchciński,6,Prawo i Sprawiedliwość
Mieczysław Kasprzak,6,Polskie Stronnictwo Ludowe
Stanisław Żelichowski,5,Polskie Stronnictwo Ludowe
Witold Czarnecki,5,Prawo i Sprawiedliwość
Krystyna Łybacka,5,Sojusz Lewicy Demokratycznej
Waldemar Andzel,5,Prawo i Sprawiedliwość
Leszek Korzeniowski,5,Platforma Obywatelska
Wojciech Jasiński,5,Prawo i Sprawiedliwość
Stanisław Żmijan,5,Platforma Obywatelska
Elżbieta Radziszewska,5,Platforma Obywatelska
Edward Siarka,5,Prawo i Sprawiedliwość
Kazimierz Plocke,5,Platforma Obywatelska
Stanisław Szwed,5,Prawo i Sprawiedliwość
Sławomir Zawiślak,5,Prawo i Sprawiedliwość
Andrzej Adamczyk,5,Prawo i Sprawiedliwość
Tomasz Latos,5,Prawo i Sprawiedliwość
Wojciech Szarama,5,Prawo i Sprawiedliwość
Krystyna Skowrońska,5,Platforma Obywatelska
Marek Opioła,5,Prawo i Sprawiedliwość
Andrzej Szlachta,5,Prawo i Sprawiedliwość
Jerzy Materna,5,Prawo i Sprawiedliwość
Marek Matuszewski,5,Prawo i Sprawiedliwość
Krystyna Szumilas,5,Platforma Obywatelska
Mariusz Kamiński,5,Prawo i Sprawiedliwość
Zbigniew Ziobro,5,Prawo i Sprawiedliwość
Arkadiusz Mularczyk,5,Prawo i Sprawiedliwość
Kazimierz Gołojuch,5,Prawo i Sprawiedliwość
Arkadiusz Czartoryski,5,Prawo i Sprawiedliwość
Czesław Hoc,5,Prawo i Sprawiedliwość
Krzysztof Tchórzewski,5,Prawo i Sprawiedliwość
Ryszard Galla,5,Mniejszość Niemiecka
Cezary Grabarczyk,5,Platforma Obywatelska
Marek Polak,5,Prawo i Sprawiedliwość
Marek Ast,5,Prawo i Sprawiedliwość
Andrzej Czerwiński,5,Platforma Obywatelska
Franciszek Jerzy Stefaniuk,5,Polskie Stronnictwo Ludowe
Tomasz Tomczykiewicz,5,Platforma Obywatelska
Waldy Dzikowski,5,Platforma Obywatelska
Leonard Krasulski,5,Prawo i Sprawiedliwość
Marzena Machałek,5,Prawo i Sprawiedliwość
Stanisław Kalemba,5,Polskie Stronnictwo Ludowe
Tadeusz Cymański,5,Prawo i Sprawiedliwość
Teresa Piotrowska,5,Platforma Obywatelska
Jolanta Szczypińska,5,Prawo i Sprawiedliwość
Anna Paluch,5,Prawo i Sprawiedliwość
Krzysztof Lipiec,5,Prawo i Sprawiedliwość
Zbigniew Chmielowiec,5,Prawo i Sprawiedliwość
Tadeusz Woźniak,5,Prawo i Sprawiedliwość
Ewa Kopacz,5,Platforma Obywatelska
Iwona Śledzińska-Katarasińska,5,Platforma Obywatelska
Jarosław Sellin,5,Prawo i Sprawiedliwość
Lech Kołakowski,5,Prawo i Sprawiedliwość
Kazimierz Moskal,5,Prawo i Sprawiedliwość
