posel,ilosc_kadencji
Józef Cyrankiewicz,6
Czesław Wycech,6
Bolesław Podedworny,6
Kazimierz Banach,6
Jan Frankowski,6
Marian Jaworski,6
Jan Karol Wende,6
Lucjan Motyka,6
Stanisław Kulczyński,6
Konstanty Dąbrowski,6
Stefan Jędrychowski,6
Zygmunt Surowiec,5
Jan Izydorczyk,5
Piotr Gajewski,5
Stefan Ignar,5
Jan Dąb-Kocioł,5
Roman Nowak,5
Tadeusz Stadniczeńko,5
Jerzy Albrecht,5
Piotr Jaroszewicz,5
Julian Horodecki,5
Leon Chajn,5
Antoni Korzycki,5
Henryk Jabłoński,5
Stanisław Gucwa,5
Konstanty Łubieński,5
Wojciech Jaruzelski,5
Jan Klecha,5
Marian Spychalski,5
Stanisław Cieślak,5
Bolesław Rumiński,5
Zenon Kliszko,5
Józef Czapski,5
Włodzimierz Lechowicz,5
Józef Ozga-Michalski,5
Edward Ochab,5
Jerzy Sztachelski,5
Aleksander Rozmiarek,5
Jarema Maciszewski,5
Józef Ozga-Michalski,5
Oskar Lange,5
Henryk Jabłoński,5
Tadeusz Toczek,5
Franciszek Blinowski,5
Jarosław Iwaszkiewicz,5
Ryszard Strzelecki,5
Adam Rapacki,5
Kazimierz Barcikowski,5
Ignacy Loga-Sowiński,5
Franciszek Waniołka,5
Witold Jarosiński,5
Emil Kołodziej,5
Tadeusz Witold Młyńczak,5
Zenon Komender,5
Paweł Wojas,5
Bolesław Drobner,5
Paweł Dąbek,4
Stanisław Tomaszewski,4
Roman Zambrowski,4
Alicja Musiałowa,4
Bronisław Ostapczuk,4
Jerzy Morawski,4
Włodzimierz Sokorski,4
Ludwik Janczyszyn,4
Józef Grzecznarowski,4
Bronisław Owsianik,4
Jerzy Jodłowski,4
Marian Miśkiewicz,4
Roman Stachoń,4
Stanisław Kania,4
Edmund Męclewski,4
Tadeusz Wieczorek,4
Ludomir Stasiak,4
Józef Majchrzak,4
Piotr Stefański,4
Mieczysław Jagielski,4
Zdzisław Balicki,4
Stanisław Opałko,4
Wojciech Żukrowski,4
Sylwester Zawadzki,4
Tadeusz Ilczuk,4
Zdzisław Grudzień,4
Franciszek Wachowicz,4
Tadeusz Janczyk,4
Mieczysław Moczar,4
Józef Noga,4
Stanisław Romanowski,4
Jan Szydlak,4
Michał Grendys,4
Władysław Cabaj,4
Stanisław Kowalczyk,4
Józef Spychalski,4
Stanisław Kuziński,4
Bronisław Drzewiecki,4
Antoni Kuligowski,4
Bernard Rośkiewicz,4
Edward Gierek,4
