flow
"{target=""1991_Koło Poselskie ""Chrześcijańska Demokracja"""", source=""1993_OUT"", value=6},"
"{target=""1991_Parlamentarne Koło Mniejszości Niemieckiej"", source=""1993_Parlamentarne Koło Mniejszości Niemieckiej"", value=2},"
"{target=""1991_OUT"", source=""1993_OUT"", value=5226},"
"{target=""1991_Parlamentarny Klub Polskiego Stronnictwa Ludowego"", source=""1993_OUT"", value=25},"
"{target=""1991_OUT"", source=""1993_Koło Parlamentarne Polskiej Partii Socjalistycznej "", value=1},"
"{target=""1991_Klub Polski Program Liberalny"", source=""1993_Sojusz Lewicy Demokratycznej Klub Parlamentarny"", value=1},"
"{target=""1991_Klub Parlamentarny Unia Demokratyczna"", source=""1993_OUT"", value=23},"
"{target=""1991_OUT"", source=""1993_Federacyjny Klub Parlamentarny na Rzecz Akcji Wyborczej Solidarność "", value=1},"
"{target=""1991_OUT"", source=""1993_Koło Parlamentarne Bezpartyjnego Bloku Wspierania Reform"", value=7},"
"{target=""1991_Parlamentarny Klub Polskiego Stronnictwa Ludowego"", source=""1993_Poseł niezrzeszony"", value=1},"
"{target=""1991_Koło Poselskie Unii Polityki Realnej"", source=""1993_OUT"", value=4},"
"{target=""1991_OUT"", source=""1993_Sojusz Lewicy Demokratycznej Klub Parlamentarny "", value=2},"
"{target=""1991_Klub Parlamentarny Konfederacji Polski Niepodległej"", source=""1993_Poseł niezrzeszony"", value=1},"
"{target=""1991_Klub Parlamentarny NSZZ ""Solidarność"""", source=""1993_Koło Konserwatywno-Ludowe"", value=1},"
"{target=""1991_OUT"", source=""1993_Nowa Demokracja - Koło Poselskie"", value=3},"
"{target=""1991_OUT"", source=""1993_Federacyjny Klub Parlamentarny na Rzecz Akcji Wyborczej Solidarność"", value=10},"
"{target=""1991_Koło Poselskie Akcji Polskiej"", source=""1993_OUT"", value=3},"
"{target=""1991_Klub Parlamentarny NSZZ ""Solidarność"""", source=""1993_OUT"", value=23},"
"{target=""1991_Klub Parlamentarny Zjednoczenia Chrześcijańsko-Narodowego"", source=""1993_OUT"", value=42},"
"{target=""1991_OUT"", source=""1993_Koło Konserwatywno-Ludowe"", value=5},"
"{target=""1991_Parlamentarne Koło Mniejszości Niemieckiej"", source=""1993_OUT"", value=5},"
"{target=""1991_Sojusz Lewicy Demokratycznej - Klub Parlamentarny"", source=""1993_OUT"", value=17},"
"{target=""1991_Klub Parlamentarny Zjednoczenia Chrześcijańsko-Narodowego "", source=""1993_OUT"", value=1},"
