flow
"{target=""1993_Federacyjny Klub Parlamentarny na Rzecz Akcji Wyborczej Solidarność"", source=""1997_Poseł niezrzeszony"", value=2},"
"{target=""1993_OUT"", source=""1997_Klub Parlamentarny Unii Wolności "", value=20},"
"{target=""1993_Posłanka niezrzeszona"", source=""1997_Klub Parlamentarny Sojuszu Lewicy Demokratycznej"", value=1},"
"{target=""1993_Koło Parlamentarne Porozumienie Prawicy - Solidarni w Wyborach"", source=""1997_OUT"", value=3},"
"{target=""1993_Klub Parlamentarny Polskiego Stronnictwa Ludowego"", source=""1997_Klub Parlamentarny Polskiego Stronnictwa Ludowego"", value=15},"
"{target=""1993_Klub Parlamentarny Unii Wolności"", source=""1997_Klub Parlamentarny Unii Wolności "", value=31},"
"{target=""1993_Posłowie niezrzeszeni "", source=""1997_OUT"", value=1},"
"{target=""1993_Parlamentarne Koło Mniejszości Niemieckiej"", source=""1997_Poseł niezrzeszony"", value=2},"
"{target=""1993_Koło Parlamentarne Polskiej Partii Socjalistycznej "", source=""1997_OUT"", value=1},"
"{target=""1993_Sojusz Lewicy Demokratycznej Klub Parlamentarny"", source=""1997_Klub Parlamentarny Sojuszu Lewicy Demokratycznej"", value=84},"
"{target=""1993_Federacyjny Klub Parlamentarny na Rzecz Akcji Wyborczej Solidarność "", source=""1997_OUT"", value=1},"
"{target=""1993_Koło Poselskie Konfederacji Polski Niepodległej"", source=""1997_Klub Parlamentarny Akcji Wyborczej Solidarność"", value=1},"
"{target=""1993_Klub Parlamentarny Unii Wolności "", source=""1997_OUT"", value=3},"
"{target=""1993_Koło Parlamentarne Polskiej Partii Socjalistycznej"", source=""1997_OUT"", value=1},"
"{target=""1993_OUT"", source=""1997_Koło Parlamentarne ALTERNATYWA"", value=3},"
"{target=""1993_Klub Parlamentarny Unii Wolności"", source=""1997_Poseł niezrzeszony"", value=1},"
"{target=""1993_Posłanka niezrzeszona"", source=""1997_OUT"", value=1},"
"{target=""1993_Koło Poselskie Konfederacji Polski Niepodległej"", source=""1997_OUT"", value=3},"
"{target=""1993_Unia Pracy Klub Parlamentarny"", source=""1997_OUT"", value=33},"
"{target=""1993_Unia Pracy Klub Parlamentarny "", source=""1997_OUT"", value=1},"
"{target=""1993_Klub Parlamentarny Polskiego Stronnictwa Ludowego"", source=""1997_OUT"", value=112},"
"{target=""1993_Klub Parlamentarny Unii Wolności"", source=""1997_OUT"", value=33},"
"{target=""1993_Sojusz Lewicy Demokratycznej Klub Parlamentarny"", source=""1997_Poseł niezrzeszony"", value=1},"
"{target=""1993_Koło Konserwatywno-Ludowe"", source=""1997_OUT"", value=6},"
"{target=""1993_Koło Poselskie Konfederacji Polski Niepodległej"", source=""1997_Klub Parlamentarny Stronnictwa Konserwatywno-Ludowego"", value=1},"
"{target=""1993_OUT"", source=""1997_Koło Parlamentarne Ruchu Odbudowy Polski"", value=3},"
"{target=""1993_Sojusz Lewicy Demokratycznej Klub Parlamentarny"", source=""1997_OUT"", value=84},"
"{target=""1993_Koło Parlamentarne Polskiej Partii Socjalistycznej"", source=""1997_Klub Parlamentarny Sojuszu Lewicy Demokratycznej"", value=1},"
"{target=""1993_OUT"", source=""1997_Klub Parlamentarny Stronnictwa Konserwatywno-Ludowego"", value=15},"
"{target=""1993_Koło Konserwatywno-Ludowe"", source=""1997_Klub Parlamentarny Stronnictwa Konserwatywno-Ludowego"", value=2},"
"{target=""1993_Parlamentarne Koło Mniejszości Niemieckiej"", source=""1997_OUT"", value=2},"
"{target=""1993_OUT"", source=""1997_Klub Parlamentarny Akcji Wyborczej Solidarność"", value=140},"
"{target=""1993_Koło Parlamentarne Bezpartyjnego Bloku Wspierania Reform"", source=""1997_OUT"", value=7},"
"{target=""1993_Federacyjny Klub Parlamentarny na Rzecz Akcji Wyborczej Solidarność"", source=""1997_OUT"", value=12},"
"{target=""1993_OUT"", source=""1997_Klub Parlamentarny Sojuszu Lewicy Demokratycznej"", value=83},"
"{target=""1993_Klub Parlamentarny Polskiego Stronnictwa Ludowego "", source=""1997_OUT"", value=4},"
"{target=""1993_OUT"", source=""1997_Klub Parlamentarny Polskiego Stronnictwa Ludowego"", value=14},"
"{target=""1993_Koło Parlamentarne Porozumienie Prawicy - Solidarni w Wyborach"", source=""1997_Klub Parlamentarny Akcji Wyborczej Solidarność"", value=1},"
"{target=""1993_Federacyjny Klub Parlamentarny na Rzecz Akcji Wyborczej Solidarność"", source=""1997_Koło Parlamentarne ALTERNATYWA"", value=1},"
"{target=""1993_Nowa Demokracja - Koło Poselskie"", source=""1997_OUT"", value=3},"
"{target=""1993_OUT"", source=""1997_Klub Parlamentarny Prawo i Sprawiedliwość"", value=17},"
"{target=""1993_Poseł niezrzeszony"", source=""1997_OUT"", value=15},"
"{target=""1993_OUT"", source=""1997_Posłanka niezrzeszona"", value=3},"
"{target=""1993_Sojusz Lewicy Demokratycznej Klub Parlamentarny "", source=""1997_OUT"", value=7},"
"{target=""1993_OUT"", source=""1997_Poseł niezrzeszony"", value=33},"
"{target=""1993_OUT"", source=""1997_Klub Parlamentarny ""Prawo i Sprawiedliwość"""", value=1},"
"{target=""1993_Koło Parlamentarne Polskiej Partii Socjalistycznej"", source=""1997_Poseł niezrzeszony"", value=1},"
"{target=""1993_OUT"", source=""1997_OUT"", value=5230},"
"{target=""1993_OUT"", source=""1997_Koło Poselskie Porozumienia Polskiego"", value=5},"
