flow
"{target=""1997_OUT"", source=""2001_Klub Parlamentarny Socjaldemokracji Polskiej"", value=16},"
"{target=""1997_Poseł niezrzeszony"", source=""2001_Koło Poselskie Ruchu Katolicko-Narodowego"", value=1},"
"{target=""1997_OUT"", source=""2001_Klub Parlamentarny Samoobrona Rzeczypospolitej Polskiej"", value=32},"
"{target=""1997_Klub Parlamentarny Stronnictwa Konserwatywno-Ludowego"", source=""2001_OUT"", value=10},"
"{target=""1997_Klub Parlamentarny Unii Wolności "", source=""2001_OUT"", value=51},"
"{target=""1997_Klub Parlamentarny Sojuszu Lewicy Demokratycznej"", source=""2001_Koło Parlamentarne Unii Pracy"", value=1},"
"{target=""1997_Koło Poselskie Porozumienia Polskiego"", source=""2001_Koło Poselskie ""Dom Ojczysty"""", value=1},"
"{target=""1997_OUT"", source=""2001_Koło Poselskie Konserwatywno-Ludowe"", value=2},"
"{target=""1997_Klub Parlamentarny Sojuszu Lewicy Demokratycznej"", source=""2001_Klub Parlamentarny Samoobrona Rzeczypospolitej Polskiej"", value=1},"
"{target=""1997_Koło Parlamentarne Ruchu Odbudowy Polski"", source=""2001_Koło Poselskie Ruchu Odbudowy Polski"", value=1},"
"{target=""1997_OUT"", source=""2001_Koło Parlamentarne Unii Pracy"", value=10},"
"{target=""1997_Klub Parlamentarny Sojuszu Lewicy Demokratycznej"", source=""2001_Klub Parlamentarny Socjaldemokracji Polskiej"", value=17},"
"{target=""1997_OUT"", source=""2001_Koło Poselskie Ruch Patriotyczny"", value=2},"
"{target=""1997_OUT"", source=""2001_Klub Parlamentarny Unii Pracy"", value=1},"
"{target=""1997_Poseł niezrzeszony"", source=""2001_Klub Parlamentarny Sojuszu Lewicy Demokratycznej"", value=1},"
"{target=""1997_OUT"", source=""2001_OUT"", value=5228},"
"{target=""1997_Poseł niezrzeszony"", source=""2001_OUT"", value=24},"
"{target=""1997_Klub Parlamentarny Sojuszu Lewicy Demokratycznej"", source=""2001_Posłanka niezrzeszona"", value=2},"
"{target=""1997_Koło Parlamentarne ALTERNATYWA"", source=""2001_OUT"", value=4},"
"{target=""1997_Koło Poselskie Porozumienia Polskiego"", source=""2001_Klub Parlamentarny Liga Polskich Rodzin"", value=1},"
"{target=""1997_OUT"", source=""2001_Klub Parlamentarny Platforma Obywatelska"", value=45},"
"{target=""1997_Klub Parlamentarny ""Prawo i Sprawiedliwość"""", source=""2001_Klub Parlamentarny Prawo i Sprawiedliwość"", value=1},"
"{target=""1997_OUT"", source=""2001_Koło Parlamentarne Stronnictwa Konserwatywno-Ludowego"", value=1},"
"{target=""1997_OUT"", source=""2001_Koło Poselskie Partii Ludowo-Demokratycznej"", value=1},"
"{target=""1997_Koło Parlamentarne Ruchu Odbudowy Polski"", source=""2001_OUT"", value=2},"
"{target=""1997_Klub Parlamentarny Sojuszu Lewicy Demokratycznej"", source=""2001_Poseł niezrzeszony"", value=4},"
"{target=""1997_OUT"", source=""2001_Klub Poselski Platformy Obywatelskiej"", value=2},"
"{target=""1997_OUT"", source=""2001_Koło Poselskie Ruchu Katolicko-Narodowego"", value=3},"
"{target=""1997_Klub Parlamentarny Sojuszu Lewicy Demokratycznej"", source=""2001_OUT"", value=78},"
"{target=""1997_OUT"", source=""2001_Poseł niezrzeszony"", value=26},"
"{target=""1997_Poseł niezrzeszony"", source=""2001_Klub Parlamentarny Platforma Obywatelska"", value=6},"
"{target=""1997_OUT"", source=""2001_Posłanka niezrzeszona"", value=4},"
"{target=""1997_Klub Parlamentarny Akcji Wyborczej Solidarność"", source=""2001_Koło Poselskie ""Dom Ojczysty"""", value=1},"
"{target=""1997_Posłanka niezrzeszona"", source=""2001_Klub Parlamentarny Platforma Obywatelska"", value=1},"
"{target=""1997_Koło Poselskie Porozumienia Polskiego"", source=""2001_OUT"", value=1},"
"{target=""1997_OUT"", source=""2001_Koło Poselskie Porozumienia Polskiego"", value=1},"
"{target=""1997_Poseł niezrzeszony"", source=""2001_Klub Poselski Platformy Obywatelskiej"", value=2},"
"{target=""1997_OUT"", source=""2001_Klub Parlamentarny Polskiego Stronnictwa Ludowego"", value=26},"
"{target=""1997_Klub Parlamentarny Prawo i Sprawiedliwość"", source=""2001_OUT"", value=7},"
"{target=""1997_OUT"", source=""2001_Koło Poselskie Ruchu Odbudowy Polski"", value=2},"
"{target=""1997_Poseł niezrzeszony"", source=""2001_Klub Parlamentarny Liga Polskich Rodzin"", value=1},"
"{target=""1997_Klub Parlamentarny Polskiego Stronnictwa Ludowego"", source=""2001_Klub Parlamentarny Liga Polskich Rodzin"", value=2},"
"{target=""1997_Koło Poselskie Porozumienia Polskiego"", source=""2001_Koło Poselskie Porozumienia Polskiego"", value=2},"
"{target=""1997_Klub Parlamentarny Prawo i Sprawiedliwość"", source=""2001_Klub Parlamentarny Prawo i Sprawiedliwość"", value=10},"
"{target=""1997_Poseł niezrzeszony"", source=""2001_Poseł niezrzeszony"", value=3},"
"{target=""1997_Klub Parlamentarny Stronnictwa Konserwatywno-Ludowego"", source=""2001_Klub Parlamentarny Prawo i Sprawiedliwość"", value=1},"
"{target=""1997_Klub Parlamentarny Polskiego Stronnictwa Ludowego"", source=""2001_OUT"", value=9},"
"{target=""1997_Klub Parlamentarny Stronnictwa Konserwatywno-Ludowego"", source=""2001_Koło Poselskie Konserwatywno-Ludowe"", value=3},"
"{target=""1997_OUT"", source=""2001_Koło Poselskie Stronnictwa Gospodarczego"", value=10},"
"{target=""1997_Posłanka niezrzeszona"", source=""2001_Klub Parlamentarny Liga Polskich Rodzin"", value=1},"
"{target=""1997_OUT"", source=""2001_Klub Parlamentarny Sojuszu Lewicy Demokratycznej"", value=85},"
"{target=""1997_Posłanka niezrzeszona"", source=""2001_OUT"", value=1},"
"{target=""1997_Klub Parlamentarny Akcji Wyborczej Solidarność"", source=""2001_OUT"", value=141},"
"{target=""1997_Klub Parlamentarny Sojuszu Lewicy Demokratycznej"", source=""2001_Klub Parlamentarny Sojuszu Lewicy Demokratycznej"", value=66},"
"{target=""1997_Klub Parlamentarny Stronnictwa Konserwatywno-Ludowego"", source=""2001_Klub Parlamentarny Platforma Obywatelska"", value=4},"
"{target=""1997_Klub Parlamentarny Polskiego Stronnictwa Ludowego"", source=""2001_Klub Parlamentarny Polskiego Stronnictwa Ludowego"", value=18},"
"{target=""1997_OUT"", source=""2001_Klub Parlamentarny Prawo i Sprawiedliwość"", value=39},"
"{target=""1997_OUT"", source=""2001_Klub Parlamentarny Liga Polskich Rodzin"", value=19},"
"{target=""1997_Poseł niezrzeszony"", source=""2001_Koło Poselskie Stronnictwa Gospodarczego"", value=1},"
