flow
"{target=""2015_Klub Parlamentarny Polskie Stronnictwo Ludowe - Koalicja Polska"", source=""2019_Klub Parlamentarny Koalicja Polska - PSL, UED, Konserwatyści"", value=13},"
"{target=""2015_OBECNY"", source=""2019_OUT"", value=1},"
"{target=""2015_Koło Poselskie Unia Polityki Realnej"", source=""2019_Klub Parlamentarny Prawo i Sprawiedliwość"", value=1},"
"{target=""2015_Klub Parlamentarny Polskie Stronnictwo Ludowe - Koalicja Polska"", source=""2019_OUT"", value=9},"
"{target=""2015_Koło Poselskie TERAZ!"", source=""2019_OUT"", value=2},"
"{target=""2015_OUT"", source=""2019_OUT"", value=5350},"
"{target=""2015_Poseł niezrzeszony"", source=""2019_Klub Parlamentarny Prawo i Sprawiedliwość"", value=1},"
"{target=""2015_Klub Parlamentarny Prawo i Sprawiedliwość"", source=""2019_Koło Poselskie Konfederacja"", value=1},"
"{target=""2015_Klub Poselski Kukiz'15"", source=""2019_Koło Poselskie Konfederacja"", value=1},"
"{target=""2015_OUT"", source=""2019_Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni"", value=46},"
"{target=""2015_OUT"", source=""2019_Koło Poselskie Polskie Sprawy"", value=1},"
"{target=""2015_OUT"", source=""2019_Posłanka niezrzeszona"", value=1},"
"{target=""2015_OUT"", source=""2019_Koło Poselskie Kukiz'15 - Demokracja Bezpośrednia"", value=1},"
"{target=""2015_OUT"", source=""2019_Koło Poselskie Konfederacja"", value=8},"
"{target=""2015_Klub Parlamentarny Prawo i Sprawiedliwość"", source=""2019_Poseł niezrzeszony"", value=1},"
"{target=""2015_Klub Parlamentarny Prawo i Sprawiedliwość"", source=""2019_Klub Parlamentarny Prawo i Sprawiedliwość"", value=166},"
"{target=""2015_Klub Parlamentarny Platforma Obywatelska"", source=""2019_Poseł niezrzeszony"", value=1},"
"{target=""2015_Koło Poselskie Konfederacja"", source=""2019_OUT"", value=2},"
"{target=""2015_Poseł niezrzeszony"", source=""2019_OUT"", value=8},"
"{target=""2015_Klub Parlamentarny Platforma Obywatelska - Koalicja Obywatelska"", source=""2019_Klub Parlamentarny Koalicja Polska - PSL, UED, Konserwatyści"", value=1},"
"{target=""2015_Koło Poselskie Unia Polityki Realnej"", source=""2019_OUT"", value=3},"
"{target=""2015_OUT"", source=""2019_Koło Parlamentarne Lewicy Demokratycznej"", value=3},"
"{target=""2015_Poseł niezrzeszony"", source=""2019_Poseł niezrzeszony"", value=1},"
"{target=""2015_Klub Parlamentarny Platforma Obywatelska - Koalicja Obywatelska"", source=""2019_Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni"", value=85},"
"{target=""2015_Klub Parlamentarny Prawo i Sprawiedliwość"", source=""2019_Klub Parlamentarny Koalicja Polska - PSL, UED, Konserwatyści"", value=1},"
"{target=""2015_Klub Poselski Kukiz'15"", source=""2019_Koło Poselskie Kukiz'15 - Demokracja Bezpośrednia"", value=2},"
"{target=""2015_Klub Poselski Kukiz'15"", source=""2019_Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni"", value=1},"
"{target=""2015_Klub Poselski Kukiz'15"", source=""2019_OUT"", value=13},"
"{target=""2015_Klub Poselski Polskiego Stronnictwa Ludowego - Unii Europejskich Demokratów"", source=""2019_OUT"", value=1},"
"{target=""2015_OUT"", source=""2019_Klub Parlamentarny Prawo i Sprawiedliwość"", value=70},"
"{target=""2015_Klub Parlamentarny Prawo i Sprawiedliwość"", source=""2019_Koło Poselskie Polskie Sprawy"", value=1},"
"{target=""2015_OUT"", source=""2019_Koalicyjny Klub Parlamentarny Lewicy (Nowa Lewica, PPS, Razem)"", value=41},"
"{target=""2015_OUT"", source=""2019_Poseł niezrzeszony"", value=3},"
"{target=""2015_Klub Poselski Kukiz'15"", source=""2019_Koło Poselskie Polskie Sprawy"", value=1},"
"{target=""2015_Klub Parlamentarny Platforma Obywatelska - Koalicja Obywatelska"", source=""2019_Poseł niezrzeszony"", value=1},"
"{target=""2015_Koło Poselskie Wolni i Solidarni"", source=""2019_OUT"", value=1},"
"{target=""2015_Koło Poselskie Konfederacja"", source=""2019_Poseł niezrzeszony"", value=1},"
"{target=""2015_Koło Poselskie Konfederacja"", source=""2019_Koło Poselskie Konfederacja"", value=1},"
"{target=""2015_OUT"", source=""2019_Klub Parlamentarny Koalicja Polska - PSL, UED, Konserwatyści"", value=13},"
"{target=""2015_OUT"", source=""2019_Koło Parlamentarne Polska 2050"", value=3},"
"{target=""2015_Klub Parlamentarny Platforma Obywatelska - Koalicja Obywatelska"", source=""2019_Koło Parlamentarne Polska 2050"", value=3},"
"{target=""2015_Koło Poselskie TERAZ!"", source=""2019_Koalicyjny Klub Parlamentarny Lewicy (Nowa Lewica, PPS, Razem)"", value=1},"
"{target=""2015_Koło Poselskie Przywrócić Prawo"", source=""2019_OUT"", value=3},"
"{target=""2015_Klub Parlamentarny Platforma Obywatelska"", source=""2019_OUT"", value=3},"
"{target=""2015_Klub Parlamentarny Prawo i Sprawiedliwość"", source=""2019_OUT"", value=104},"
"{target=""2015_Klub Parlamentarny Platforma Obywatelska - Koalicja Obywatelska"", source=""2019_OUT"", value=68},"
"{target=""2015_Posłanka niezrzeszona"", source=""2019_OUT"", value=2},"
